"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,3,0,8,2,26982,466111269,26982,564592598,26982,465931761,26982,564687759
256,500,375,-2,"0.6",-1,1,3,0,8,3,26982,466081948,26982,503643067,26982,465931761,26982,564687759
256,500,375,-2,"0.6",-1,1,3,0,9,1,26982,645259209,26982,682124380,26982,645113618,26982,743691192
256,500,375,-2,"0.6",-1,1,3,0,9,2,26982,645260007,26982,743618281,26982,645113618,26982,743691192
256,500,375,-2,"0.6",-1,1,3,0,9,3,26982,645212308,26982,682649898,26982,645113618,26982,743691192
256,500,375,-2,"0.6",-1,1,3,0,10,1,26982,829052805,26982,862525638,26982,828931141,26982,924116507
256,500,375,-2,"0.6",-1,1,3,0,10,2,26982,829057323,26982,924022960,26982,828931141,26982,924116507
256,500,375,-2,"0.6",-1,1,3,0,10,3,26982,829016193,26982,863055851,26982,828931141,26982,924116507
256,500,375,-2,"0.6",-1,1,3,1,1,1,26983,16523451,26983,75248244,26983,16409227,26983,76121350
256,500,375,-2,"0.6",-1,1,3,1,1,2,26983,16591347,26983,74608920,26983,16409227,26983,76121350
256,500,375,-2,"0.6",-1,1,3,1,1,3,26983,16597316,26983,76038505,26983,16409227,26983,76121350
256,500,375,-2,"0.6",-1,1,3,1,2,1,26983,157581302,26983,216911527,26983,157463151,26983,218466699
256,500,375,-2,"0.6",-1,1,3,1,2,2,26983,157625166,26983,218368594,26983,157463151,26983,218466699
256,500,375,-2,"0.6",-1,1,3,1,2,3,26983,157576999,26983,217604713,26983,157463151,26983,218466699
256,500,375,-2,"0.6",-1,1,3,1,3,1,26983,296788925,26983,355787018,26983,296644904,26983,357345835
256,500,375,-2,"0.6",-1,1,3,1,3,2,26983,296761871,26983,356483676,26983,296644904,26983,357345835
256,500,375,-2,"0.6",-1,1,3,1,3,3,26983,296813361,26983,357265360,26983,296644904,26983,357345835
