"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,2,1,5,2,26821,519565678,26821,604222717,26821,519533933,26821,604874986
256,500,375,-2,"0.6",-1,1,2,1,6,1,26821,727000941,26821,812354430,26821,726932329,26821,813007457
256,500,375,-2,"0.6",-1,1,2,1,6,2,26821,726968986,26821,812940109,26821,726932329,26821,813007457
256,500,375,-2,"0.6",-1,1,2,1,7,1,26822,1502560,26822,83290075,26822,1370373,26822,84017618
256,500,375,-2,"0.6",-1,1,2,1,7,2,26822,1582311,26822,83937644,26822,1370373,26822,84017618
256,500,375,-2,"0.6",-1,1,2,1,8,1,26822,254097776,26822,337120719,26822,253966212,26822,337790502
256,500,375,-2,"0.6",-1,1,2,1,8,2,26822,254033125,26822,337719507,26822,253966212,26822,337790502
256,500,375,-2,"0.6",-1,1,2,1,9,1,26822,444390576,26822,528932702,26822,444325046,26822,529005490
256,500,375,-2,"0.6",-1,1,2,1,9,2,26822,444414160,26822,528348842,26822,444325046,26822,529005490
256,500,375,-2,"0.6",-1,1,2,1,10,1,26822,601968673,26822,686957462,26822,601906836,26822,687630217
256,500,375,-2,"0.6",-1,1,2,1,10,2,26822,602006751,26822,687540374,26822,601906836,26822,687630217
256,500,375,-2,"0.6",-1,1,2,2,1,1,26822,772962089,26822,936223617,26822,772835722,26822,936296026
256,500,375,-2,"0.6",-1,1,2,2,1,2,26822,773049025,26822,773049160,26822,772835722,26822,936296026
256,500,375,-2,"0.6",-1,1,2,2,2,1,26823,10267076,26823,175706370,26823,10133844,26823,175775245
256,500,375,-2,"0.6",-1,1,2,2,2,2,26823,10291822,26823,10291902,26823,10133844,26823,175775245
256,500,375,-2,"0.6",-1,1,2,2,3,1,26823,250834770,26823,417937571,26823,250727345,26823,418008796
256,500,375,-2,"0.6",-1,1,2,2,3,2,26823,250909939,26823,250910052,26823,250727345,26823,418008796
256,500,375,-2,"0.6",-1,1,2,2,4,1,26823,493367371,26823,661736595,26823,493212848,26823,661848919
256,500,375,-2,"0.6",-1,1,2,2,4,2,26823,493292890,26823,493293033,26823,493212848,26823,661848919
256,500,375,-2,"0.6",-1,1,2,2,5,1,26823,736881224,26823,904854672,26823,736775194,26823,904921087
256,500,375,-2,"0.6",-1,1,2,2,5,2,26823,736912674,26823,736912812,26823,736775194,26823,904921087
256,500,375,-2,"0.6",-1,1,2,2,6,1,26823,981464150,26824,147699852,26823,981392805,26824,147772888
256,500,375,-2,"0.6",-1,1,2,2,6,2,26823,981442035,26823,981442120,26823,981392805,26824,147772888
256,500,375,-2,"0.6",-1,1,2,2,7,1,26824,222639976,26824,387268188,26824,222522195,26824,387340605
256,500,375,-2,"0.6",-1,1,2,2,7,2,26824,222709764,26824,222709839,26824,222522195,26824,387340605
256,500,375,-2,"0.6",-1,1,2,2,8,1,26824,464213403,26824,632496002,26824,464122243,26824,632569596
256,500,375,-2,"0.6",-1,1,2,2,8,2,26824,464192179,26824,464192299,26824,464122243,26824,632569596
256,500,375,-2,"0.6",-1,1,2,2,9,1,26824,710184283,26824,878137185,26824,710119423,26824,878206837
256,500,375,-2,"0.6",-1,1,2,2,9,2,26824,710208974,26824,710209053,26824,710119423,26824,878206837
256,500,375,-2,"0.6",-1,1,2,2,10,1,26824,953887751,26825,118622627,26824,953812787,26825,118689903
256,500,375,-2,"0.6",-1,1,2,2,10,2,26824,953948623,26824,953948703,26824,953812787,26825,118689903
256,500,375,-2,"0.6",-1,1,3,0,1,1,26825,200816850,26825,240244227,26825,200630938,26825,301795293
256,500,375,-2,"0.6",-1,1,3,0,1,2,26825,200775072,26825,301699802,26825,200630938,26825,301795293
256,500,375,-2,"0.6",-1,1,3,0,1,3,26825,200851495,26825,240822810,26825,200630938,26825,301795293
256,500,375,-2,"0.6",-1,1,3,0,2,1,26825,380740831,26825,419194672,26825,380580804,26825,480818194
256,500,375,-2,"0.6",-1,1,3,0,2,2,26825,380801430,26825,480729893,26825,380580804,26825,480818194
256,500,375,-2,"0.6",-1,1,3,0,2,3,26825,380776242,26825,419785972,26825,380580804,26825,480818194
256,500,375,-2,"0.6",-1,1,3,0,3,1,26825,561353414,26825,600441650,26825,561162859,26825,661966059
256,500,375,-2,"0.6",-1,1,3,0,3,2,26825,561309994,26825,661895318,26825,561162859,26825,661966059
256,500,375,-2,"0.6",-1,1,3,0,3,3,26825,561380770,26825,601032501,26825,561162859,26825,661966059
256,500,375,-2,"0.6",-1,1,3,0,4,1,26825,744872064,26825,782748359,26825,744620798,26825,844279459
256,500,375,-2,"0.6",-1,1,3,0,4,2,26825,744833600,26825,844198080,26825,744620798,26825,844279459
256,500,375,-2,"0.6",-1,1,3,0,4,3,26825,744799268,26825,783237598,26825,744620798,26825,844279459
256,500,375,-2,"0.6",-1,1,3,0,5,1,26825,925123381,26825,962935865,26825,925008117,26826,24536636
256,500,375,-2,"0.6",-1,1,3,0,5,2,26825,925152925,26826,24454206,26825,925008117,26826,24536636
256,500,375,-2,"0.6",-1,1,3,0,5,3,26825,925181927,26825,963541959,26825,925008117,26826,24536636
256,500,375,-2,"0.6",-1,1,3,0,6,1,26826,107202499,26826,146444338,26826,107010231,26826,207931211
256,500,375,-2,"0.6",-1,1,3,0,6,2,26826,107166275,26826,207866623,26826,107010231,26826,207931211
256,500,375,-2,"0.6",-1,1,3,0,6,3,26826,107235133,26826,146983208,26826,107010231,26826,207931211
256,500,375,-2,"0.6",-1,1,3,0,7,1,26826,288008573,26826,323169099,26826,287838343,26826,384768995
256,500,375,-2,"0.6",-1,1,3,0,7,2,26826,288012647,26826,384674243,26826,287838343,26826,384768995
256,500,375,-2,"0.6",-1,1,3,0,7,3,26826,287953787,26826,323680810,26826,287838343,26826,384768995
256,500,375,-2,"0.6",-1,1,3,0,8,1,26826,463117313,26826,501398477,26826,462991941,26826,562980906
